scenario,seed,policy,unit,unit_type,explored_area_km2,first_coverage_area_km2,damage_hits,kill_credit,targets_damaged,alive,death_time,death_cause
L5_40,303,harness,white_uav2,UAV,24275.0,12775.0,0,0,0,True,,
L5_40,303,harness,white_uav3,UAV,18975.0,9775.0,0,0,0,True,,
L5_40,303,harness,white_uav4,UAV,25625.0,8450.0,0,0,0,True,,
L5_40,304,harness,white_usv1,USV,12750.0,2225.0,6,1,5,False,11614,unknown
L5_40,304,harness,white_usv3,USV,18550.0,225.0,22,9,13,True,,
L5_40,304,harness,white_usv4,USV,12525.0,425.0,5,0,6,False,9662,unknown
L5_40,304,harness,white_usv2,USV,12700.0,0.0,3,7,9,False,10818,unknown
L5_40,304,harness,white_usv5,USV,12625.0,1550.0,0,1,3,False,8499,unknown
L5_40,304,harness,white_uav2,UAV,30475.0,13525.0,0,0,0,True,,
L5_40,304,harness,white_uav4,UAV,32325.0,13750.0,0,0,0,True,,
L5_40,304,harness,white_uav5,UAV,30375.0,10100.0,0,0,0,True,,
L5_40,304,harness,white_uav1,UAV,30975.0,7150.0,0,0,0,True,,
L5_40,304,harness,white_uav3,UAV,23450.0,7275.0,0,0,0,True,,
L5_40,305,harness,white_usv5,USV,17950.0,1525.0,10,5,10,True,,
L5_40,305,harness,white_usv3,USV,17025.0,250.0,18,0,10,True,,
L5_40,305,harness,white_usv2,USV,12475.0,250.0,6,3,6,False,9399,unknown
L5_40,305,harness,white_usv1,USV,16400.0,950.0,3,8,8,True,,
L5_40,305,harness,white_usv4,USV,12575.0,0.0,1,3,4,False,8530,unknown
L5_40,305,harness,white_uav2,UAV,48575.0,17000.0,0,0,0,True,,
L5_40,305,harness,white_uav3,UAV,45075.0,13150.0,0,0,0,True,,
L5_40,305,harness,white_uav4,UAV,43725.0,21500.0,0,0,0,True,,
L5_40,305,harness,white_uav5,UAV,47875.0,31650.0,0,0,0,True,,
L5_40,305,harness,white_uav1,UAV,46200.0,9600.0,0,0,0,True,,
L5_45,301,harness,white_usv1,USV,18850.0,1475.0,10,2,7,True,,
L5_45,301,harness,white_usv3,USV,18525.0,1125.0,23,8,14,True,,
L5_45,301,harness,white_usv2,USV,18875.0,0.0,4,5,8,True,,
L5_45,301,harness,white_usv4,USV,20275.0,250.0,3,4,6,True,,
L5_45,301,harness,white_usv5,USV,20875.0,1000.0,4,3,5,True,,
L5_45,301,harness,white_uav2,UAV,54250.0,24175.0,0,0,0,True,,
L5_45,301,harness,white_uav4,UAV,49825.0,25825.0,0,0,0,True,,
L5_45,301,harness,white_uav5,UAV,52475.0,24325.0,0,0,0,True,,
L5_45,301,harness,white_uav1,UAV,49450.0,10300.0,0,0,0,True,,
L5_45,301,harness,white_uav3,UAV,42625.0,8925.0,0,0,0,True,,
L5_45,302,harness,white_usv1,USV,21700.0,2525.0,7,5,9,True,,
L5_45,302,harness,white_usv5,USV,24250.0,1550.0,8,2,10,True,,
L5_45,302,harness,white_usv3,USV,18975.0,0.0,9,8,9,True,,
L5_45,302,harness,white_usv2,USV,21675.0,0.0,6,5,8,True,,
L5_45,302,harness,white_usv4,USV,12575.0,0.0,14,2,7,False,9938,unknown
L5_45,302,harness,white_uav1,UAV,47725.0,9800.0,0,0,0,False,25078,unknown
L5_45,302,harness,white_uav3,UAV,54725.0,15725.0,0,0,0,False,25078,unknown
L5_45,302,harness,white_uav2,UAV,56600.0,12450.0,0,0,0,False,25078,unknown
L5_45,302,harness,white_uav5,UAV,69575.0,44650.0,0,0,0,False,25078,unknown
L5_45,302,harness,white_uav4,UAV,57675.0,21625.0,0,0,0,False,25078,unknown
L5_45,303,harness,white_usv1,USV,12650.0,1500.0,12,5,10,False,10989,unknown
L5_45,303,harness,white_usv3,USV,13225.0,250.0,4,1,8,False,12057,unknown
L5_45,303,harness,white_usv2,USV,15650.0,0.0,20,5,12,True,,
L5_45,303,harness,white_usv5,USV,13175.0,1150.0,5,6,10,False,12057,unknown
L5_45,303,harness,white_usv4,USV,12550.0,0.0,3,5,7,False,9736,unknown
